iter	Passed	Remaining
418	2628	3644
419	2634	3638
420	2640	3631
421	2647	3625
422	2653	3619
423	2659	3612
424	2665	3606
425	2671	3599
426	2677	3592
427	2683	3586
428	2689	3580
429	2696	3573
430	2702	3567
431	2708	3561
432	2715	3555
433	2721	3549
434	2727	3542
435	2733	3536
436	2740	3530
437	2746	3524
438	2752	3517
439	2758	3511
440	2765	3504
441	2771	3498
442	2777	3492
443	2783	3486
444	2790	3479
445	2796	3473
446	2802	3467
447	2809	3461
448	2815	3454
449	2821	3447
450	2826	3441
451	2832	3434
452	2838	3427
453	2844	3421
454	2850	3414
455	2857	3408
456	2863	3402
457	2869	3395
458	2875	3389
459	2881	3382
460	2887	3376
461	2894	3370
462	2900	3363
463	2905	3356
464	2912	3350
465	2918	3344
466	2924	3337
467	2930	3331
468	2936	3324
469	2943	3318
470	2949	3312
471	2955	3306
472	2961	3299
473	2967	3293
474	2974	3287
475	2980	3281
476	2986	3274
477	2993	3268
478	2999	3262
479	3005	3256
480	3012	3250
481	3018	3243
482	3024	3237
483	3031	3231
484	3037	3225
485	3043	3219
486	3050	3212
487	3056	3206
488	3062	3200
489	3069	3194
490	3075	3188
491	3081	3181
492	3087	3175
493	3094	3169
494	3100	3163
495	3106	3156
496	3112	3150
497	3119	3144
498	3125	3138
499	3131	3131
500	3138	3125
501	3144	3119
502	3150	3113
503	3156	3106
504	3163	3100
505	3169	3094
506	3175	3088
507	3182	3081
508	3188	3075
509	3194	3069
510	3200	3062
511	3206	3056
512	3213	3050
513	3219	3043
514	3225	3037
515	3232	3031
516	3238	3025
517	3244	3018
518	3249	3011
519	3255	3005
520	3261	2999
521	3268	2992
522	3274	2986
523	3280	2980
524	3287	2974
525	3293	2967
526	3299	2961
527	3305	2955
528	3312	2949
529	3318	2942
530	3324	2936
531	3331	2930
532	3337	2924
533	3343	2917
534	3349	2911
535	3355	2905
536	3362	2898
537	3368	2892
538	3374	2886
539	3380	2879
540	3387	2873
541	3393	2867
542	3399	2861
543	3405	2855
544	3412	2848
545	3418	2842
546	3424	2836
547	3430	2829
548	3437	2823
549	3443	2817
550	3449	2811
551	3455	2804
552	3462	2798
553	3468	2792
554	3474	2786
555	3481	2779
556	3487	2773
557	3493	2767
558	3500	2761
559	3506	2755
560	3512	2748
561	3518	2742
562	3524	2735
563	3531	2729
564	3537	2723
565	3543	2717
566	3549	2710
567	3556	2704
568	3562	2698
569	3568	2692
570	3574	2685
571	3581	2679
572	3587	2673
573	3593	2667
574	3599	2660
575	3606	2654
576	3612	2648
577	3618	2642
578	3625	2635
579	3631	2629
580	3637	2623
581	3643	2617
582	3650	2611
583	3656	2604
584	3662	2598
585	3669	2592
586	3675	2586
587	3681	2579
588	3687	2573
589	3694	2567
590	3700	2560
591	3706	2554
592	3712	2548
593	3718	2541
594	3725	2535
595	3731	2529
596	3737	2523
597	3743	2516
598	3750	2510
599	3756	2504
600	3762	2498
601	3768	2491
602	3774	2485
603	3781	2479
604	3787	2472
605	3793	2466
606	3799	2459
607	3805	2453
608	3811	2447
609	3817	2440
610	3824	2434
611	3830	2428
612	3836	2422
613	3842	2415
614	3849	2409
615	3855	2403
616	3861	2397
617	3867	2390
618	3873	2384
619	3879	2377
620	3885	2371
621	3892	2365
622	3898	2359
623	3904	2352
624	3910	2346
625	3916	2340
626	3923	2333
627	3929	2327
628	3935	2321
629	3941	2314
630	3947	2308
631	3953	2302
632	3959	2295
